message_len,total_time,throughput
1,0.075111,0.000267
101,0.053973,0.035710
201,0.043733,0.087684
301,0.113176,0.050736
401,0.079120,0.096681
501,0.050837,0.187990
601,0.057602,0.199022
701,0.063860,0.209388
801,0.074143,0.206072
901,0.061960,0.277373
1001,0.053351,0.357882
1101,0.054025,0.388722
1201,0.044193,0.518365
1301,0.044413,0.558751
1401,0.046784,0.571194
1501,0.053859,0.531574
1601,0.066745,0.457525
1701,0.051474,0.630321
1801,0.060929,0.563810
1901,0.436722,0.083027
2001,0.061660,0.618994
2101,0.213150,0.188010
2201,0.082130,0.511164
2301,0.071968,0.609838
2401,0.052526,0.871880
2501,0.048366,0.986306
2601,0.075163,0.660049
2701,0.078297,0.657986
2801,0.055016,0.971103
2901,0.133348,0.414954
3001,0.072697,0.787379
3101,0.077474,0.763455
3201,0.089042,0.685693
3301,0.068933,0.913382
3401,0.076319,0.849987
3501,0.072468,0.921478
3601,0.074370,0.923557
3701,0.081399,0.867236
3801,0.081911,0.885093
3901,0.095726,0.777288
4001,0.079945,0.954577
4101,0.077959,1.003365
4201,0.107948,0.742291
4301,0.072612,1.129789
4401,0.073072,1.148774
4501,0.083983,1.022243
4601,0.075123,1.168195
4701,0.103485,0.866462
4801,0.079208,1.156101
4901,0.139419,0.670496
5001,0.070644,1.350262
5101,0.190614,0.510429
5201,0.152073,0.652332
5301,0.143460,0.704791
5401,0.136413,0.755183
5501,0.089166,1.176734
5601,0.101029,1.057434
5701,0.106022,1.025631
5801,0.098545,1.122798
5901,0.121404,0.927097
6001,0.102219,1.119760
6101,0.106141,1.096351
6201,0.124848,0.947361
6301,0.126434,0.950556
6401,0.098280,1.242265
6501,0.153676,0.806875
6601,0.097203,1.295278
6701,0.085857,1.488665
6801,0.109950,1.179802
6901,0.088641,1.484952
7001,0.112735,1.184501
7101,0.103370,1.310262
7201,0.099379,1.382072
7301,0.104681,1.330297
7401,0.101045,1.397043
7501,0.099429,1.438934
7601,0.111314,1.302433
7701,0.104307,1.408211
7801,0.108323,1.373603
7901,0.100165,1.504523
8001,0.119002,1.282399
8101,0.103473,1.493294
8201,0.118765,1.317077
8301,0.102986,1.537399
8401,0.108572,1.475861
8501,0.132385,1.224800
8601,0.130083,1.261130
8701,0.158713,1.045657
8801,0.133865,1.253999
8901,0.372114,0.456242
9001,0.111960,1.533416
9101,0.109094,1.591181
9201,0.113483,1.546455
9301,0.125484,1.413755
9401,0.116567,1.538262
9501,0.134335,1.348997
9601,0.178492,1.025958
9701,0.169449,1.091967
9801,0.114262,1.636070
9901,0.145234,1.300296
10001,0.142185,1.341598
10101,0.147550,1.305745
10201,0.123162,1.579784
10301,0.152857,1.285360
10401,0.133464,1.486429
10501,0.137854,1.452929
10601,0.129668,1.559358
10701,0.150242,1.358514
10801,0.147170,1.399836
10901,0.130218,1.596717
11001,0.128753,1.629702
11101,0.118070,1.793307
11201,0.125906,1.696847
11301,0.126818,1.699684
11401,0.130931,1.660858
11501,0.125260,1.751285
11601,0.143340,1.543688
11701,0.116629,1.913586
11801,0.124879,1.802443
11901,0.153961,1.474364
12001,0.143640,1.593580
12101,0.122368,1.886190
12201,0.190466,1.221828
12301,0.176014,1.332983
12401,0.151315,1.563169
12501,0.178307,1.337240
12601,0.141806,1.694893
12701,0.152042,1.593336
12801,0.150059,1.627101
12901,0.227192,1.083085
13001,0.300710,0.824632
13101,0.288060,0.867468
13201,0.169858,1.482360
13301,0.158660,1.598998
13401,0.166406,1.536033
13501,0.155423,1.656850
13601,0.156092,1.661968
13701,0.140624,1.858336
13801,0.156666,1.680220
13901,0.185403,1.430085
14001,0.157110,1.699755
14101,0.166101,1.619233
14201,0.149239,1.814965
14301,0.180441,1.511688
14401,0.157965,1.738857
14501,0.156139,1.771410
14601,0.165572,1.682007
14701,0.168250,1.666573
14801,0.165131,1.709598
14901,0.180452,1.575019
15001,0.179892,1.590525
15101,0.180991,1.591406
15201,0.169397,1.711584
15301,0.210454,1.386736
15401,0.222875,1.318011
15501,0.198821,1.487058
15601,0.271711,1.095159
15701,0.199973,1.497571
15801,0.172088,1.751323
15901,0.215061,1.410243
16001,0.229231,1.331389
16101,0.192079,1.598840
16201,0.245922,1.256538
16301,0.193342,1.608123
16401,0.187221,1.670887
16501,0.225540,1.395464
16601,0.229147,1.381822
16701,0.180148,1.768255
16801,0.181116,1.769329
16901,0.208461,1.546389
17001,0.184409,1.758428
17101,0.179019,1.822022
17201,0.199964,1.640719
17301,0.197499,1.670854
17401,0.209739,1.582438
17501,0.208928,1.597709
17601,0.233105,1.440179
17701,0.182313,1.851871
17801,0.208217,1.630648
17901,0.269426,1.267270
18001,0.210500,1.631083
18101,0.240280,1.436865
18201,0.215783,1.608824
18301,0.248859,1.402658
18401,0.229125,1.531792
18501,0.199131,1.772101
18601,0.275026,1.290011
18701,0.218180,1.634863
18801,0.208152,1.722790
18901,0.243316,1.481651
19001,0.246063,1.472862
19101,0.289247,1.259557
19201,0.198745,1.842721
19301,0.183565,2.005492
19401,0.220374,1.679173
19501,0.196718,1.890790
19601,0.214871,1.739927
19701,0.193907,1.937880
19801,0.217470,1.736675
19901,0.232922,1.629652
20001,0.257353,1.482358
20101,0.256191,1.496531
20201,0.206304,1.867655
20301,0.231722,1.671020
20401,0.277391,1.402780
20501,0.244573,1.598816
20601,0.261945,1.500062
20701,0.218991,1.803000
20801,0.229906,1.725696
20901,0.271089,1.470571
21001,0.230447,1.738199
21101,0.211792,1.900309
21201,0.233887,1.728944
21301,0.291739,1.392635
21401,0.264588,1.542749
21501,0.468288,0.875743
21601,0.264832,1.555730
21701,0.263701,1.569639
21801,0.271080,1.533948
21901,0.246812,1.692503
22001,0.258615,1.622631
22101,0.269807,1.562389
22201,0.277636,1.525206
22301,0.226594,1.877187
22401,0.280514,1.523154
22501,0.227608,1.885582
22601,0.401969,1.072422
22701,0.260602,1.661493
22801,0.262202,1.658631
22901,0.261449,1.670698
23001,0.277587,1.580443
23101,0.265834,1.657491
23201,0.284806,1.553776
23301,0.271666,1.635952
23401,0.372922,1.196870
23501,0.593793,0.754888
23601,1.009888,0.445747
23701,0.279039,1.620069
23801,0.324625,1.398443
23901,0.256470,1.777501
24001,0.314348,1.456295
24101,0.267534,1.718253
24201,0.251125,1.838119
24301,0.271210,1.709029
24401,0.296447,1.569973
24501,0.319039,1.464776
24601,0.292522,1.604078
24701,0.319502,1.474591
24801,0.268386,1.762545
24901,0.338717,1.402202
25001,0.368916,1.292591
25101,0.264654,1.809019
25201,0.263836,1.821860
25301,0.280699,1.719204
25401,0.287852,1.683110
25501,0.258006,1.885204
25601,0.281453,1.734928
25701,0.272660,1.797878
25801,0.329765,1.492321
25901,0.314041,1.573116
26001,0.274040,1.809699
26101,0.306483,1.624359
26201,0.297574,1.679396
26301,0.289301,1.734014
26401,0.319493,1.576120
26501,0.344487,1.467305
