message_len,total_time,throughput
1,0.000100,0.085600
101,0.000098,7.892975
201,0.000119,12.944021
301,0.000161,14.289899
401,0.000107,28.730199
501,0.000108,35.321598
601,0.000034,135.374584
701,0.000174,30.683220
801,0.000254,24.020824
901,0.000112,61.341002
1001,0.000149,51.245086
1101,0.000174,48.225424
1201,0.000227,40.455134
1301,0.000152,65.398222
1401,0.000204,52.360367
1501,0.000152,75.546345
1601,0.000142,85.911106
1701,0.000208,62.530371
1801,0.000131,104.521098
1901,0.000139,104.487502
2001,0.000182,83.754586
2101,0.000132,121.336966
2201,0.000127,132.299078
2301,0.000116,151.200481
2401,0.000149,123.274809
2501,0.000148,128.758902
2601,0.000239,82.866045
2701,0.000116,178.300300
2801,0.000162,132.114787
2901,0.000112,197.975222
3001,0.000052,440.288557
3101,0.000093,253.242706
3201,0.000079,310.120955
3301,0.000156,161.249665
3401,0.000050,523.240135
3501,0.000082,326.933693
3601,0.000051,535.469497
3701,0.000144,196.314879
3801,0.000132,219.300383
3901,0.000037,802.632555
4001,0.000113,269.880305
4101,0.000268,116.914405
4201,0.000129,248.617686
4301,0.000147,223.030876
4401,0.000096,350.870111
4501,0.000065,524.921013
4601,0.000154,228.004478
4701,0.000257,139.721844
4801,0.000261,140.535817
4901,0.000180,207.662919
5001,0.000145,262.300591
5101,0.000203,191.972058
5201,0.000353,112.522288
5301,0.000123,328.343555
5401,0.001315,31.339959
5501,0.000139,302.346667
5601,0.000199,214.320712
5701,0.000294,147.713404
5801,0.000251,176.075617
5901,0.000092,489.156997
6001,0.000153,298.300501
6101,0.000176,264.362491
6201,0.000518,91.341935
6301,0.000264,181.941855
6401,0.000188,259.241587
6501,0.000292,169.960173
6601,0.000136,371.287769
6701,0.000193,265.545764
6801,0.000294,176.379793
6901,0.000188,280.499322
7001,0.000070,765.599516
7101,0.000226,239.634489
7201,0.000262,209.653100
7301,0.000336,165.791612
7401,0.000162,347.579956
7501,0.000067,852.713960
7601,0.000216,268.824897
7701,0.000986,59.585423
7801,0.000357,166.593966
7901,0.000265,227.589799
8001,0.000196,311.933056
8101,0.000208,297.758757
8201,0.000212,294.697659
8301,0.000172,369.006339
8401,0.000202,317.864636
8501,0.000232,280.122472
8601,0.000255,257.634757
8701,0.000153,434.426739
8801,0.000157,428.656042
8901,0.000091,749.792392
9001,0.000102,676.535935
9101,0.000216,322.088094
9201,0.000351,199.729743
9301,0.000068,1048.647142
9401,0.000100,717.758509
9501,0.000077,943.999455
9601,0.000151,484.789809
9701,0.000078,944.534320
9801,0.000099,753.455077
9901,0.000085,891.038725
10001,0.000086,882.834780
10101,0.000070,1106.483441
10201,0.000109,711.560994
10301,0.000118,668.822685
10401,0.000070,1139.918473
10501,0.000074,1081.963411
10601,0.000077,1044.639457
10701,0.000206,395.789703
10801,0.000188,438.013168
10901,0.000230,361.665604
11001,0.000088,956.827179
11101,0.000267,317.769781
11201,0.000320,266.700586
11301,0.000248,347.985604
11401,0.000316,275.578761
11501,0.000334,262.551714
11601,0.000084,1052.620119
11701,0.000230,387.383380
11801,0.000302,298.189835
11901,0.000264,343.553263
12001,0.000148,618.578137
12101,0.000101,914.427488
12201,0.000134,694.986585
